OTU	C_01_L	C_02_D	C_03_D	C_04_D	C_05_L	C_06_D	C_07_L	C_08_L	C_09_D	C_10_D	C_11_L	C_12_D	C_13_L	C_14_L	C_15_D	C_16_L	C_17_L	C_18_D	C_19_D	C_20_D	C_21_D	C_22_L	C_23_L	C_24_D	C_25_L	C_26_L	F_01_L	F_02_D	F_03_D	F_04_D	F_05_L	F_06_D	F_07_L	F_08_L	F_09_D	F_10_D	F_11_L	F_12_D	F_13_L	F_14_L	F_15_D	F_16_L	F_17_L	F_18_D	F_19_D	F_20_D	F_21_D	F_22_L	F_23_L	F_24_D	F_25_L	F_26_L	S_01_L	S_02_D	S_03_D	S_04_D	S_05_L	S_06_D	S_07_L	S_08_L	S_09_D	S_10_D	S_11_L	S_12_D	S_13_L	S_14_L	S_15_D	S_16_L	S_17_L	S_18_D	S_19_D	S_20_D	S_21_D	S_22_L	S_23_L	S_24_D	S_25_L	S_26_L
DENOVO45	13	225	21	60	0	0	0	8	27	0	0	0	19	0	6	82	0	0	202	269	0	0	0	0	69	9	244	0	476	37	599	338	705	625	1	549	632	70	909	743	3041	275	855	755	1218	1288	2248	1206	6	1778	607	11	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO46	0	105	24	19	34	0	0	4	0	0	0	0	0	21	0	0	235	177	0	0	100	222	67	0	119	15	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1414	362	2563	1007	171	102	414	274	386	614	352	479	478	817	157	604	594	767	450	521	263	1167	326	602	1114	496
DENOVO47	0	0	0	0	0	18	8	0	49	0	0	0	28	0	0	0	0	0	116	80	0	97	0	0	0	0	2	2	55	191	0	523	567	4	12280	3	996	3	244	263	1	590	3	15	161	0	248	1159	0	6	23	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO48	0	0	14	33	0	0	0	0	0	14	0	0	0	1	0	0	0	0	87	81	0	41	0	0	0	3	628	519	458	69	250	174	126	24	0	1918	418	1330	408	1821	1	1231	2302	1522	149	625	905	1946	2	0	396	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	154	0	0	80	146	0	3	0	0	0	0	0	170	1	0	0	1895	0	0	2280	0	0	344	24	0	595	1	1730	3318	4133	0	496	212	3	1093	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
DENOVO50	0	60	1	0	1	0	6	0	36	30	0	0	4	11	11	0	0	6	61	47	0	1	360	0	13	4	96	0	1	197	2322	154	1330	1173	0	3767	637	0	1381	1396	0	0	172	324	1	1014	2	1	0	0	3680	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO51	0	0	0	214	168	0	70	13	13	402	0	48	15	0	67	0	820	1013	56	17	753	797	683	2	108	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9	21	645	0	521	6	96	475	0	239	0	0	1027	0	1094	93	513	319	2	0	2	0	3	7313
DENOVO52	30	647	941	561	452	32	274	578	1236	533	204	6	330	156	798	721	185	45	7	103	1877	109	129	0	202	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0	6	10	0	1	0
DENOVO53	0	272	0	85	14	0	3	0	0	86	0	11	20	14	0	0	0	10	16	34	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6245	2901	8	26	451	1	454	30	235	445	810	188	115	976	164	25	201	189	735	62	1409	205	3	611	95	6
DENOVO54	0	0	13	65	51	0	34	38	0	0	0	41	0	0	0	1	56	75	17	34	99	24	261	0	316	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	101	583	681	0	309	0	266	1646	2	0	1928	669	7	21	111	443	92	275	595	1214	356	959	374	587	635	3393
DENOVO55	23	0	0	264	0	24	0	0	48	156	0	47	6186	457	1	471	0	62	28	4	210	50	33	0	7140	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0
DENOVO56	0	0	0	0	14470	0	42	7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO57	0	156	54	0	0	0	0	92	0	0	0	1659	0	0	0	0	0	21	64	67	51	271	85	0	587	312	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	101	725	2332	1	0	1	331	1431	0	0	575	1	22	37	930	0	560	82	13	0	347	0	0	0	2384	2298
DENOVO58	0	0	0	0	0	15	42	0	0	14	0	10	0	15	0	0	0	0	21	19	0	211	324	0	0	0	0	0	0	0	5	6568	0	528	2	0	825	0	779	1658	1	0	1145	0	0	2695	1	0	2	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO59	0	98	0	33	0	0	0	4	0	61	0	0	15	0	35	0	0	12	6	0	0	90	0	0	153	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2060	270	166	762	419	0	1117	296	694	510	527	399	611	1623	714	295	454	717	288	112	55	1252	3	1104	343	661
DENOVO60	0	33	59	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	182	195	0	0	0	0	148	8	0	0	570	2673	1	0	0	1	0	0	0	0	2	0	0	954	6637	0	0	1126	0	1	3	0	1	2726	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DENOVO61	0	5	3	0	0	0	0	0	0	0	0	0	5	0	0	214	0	1	33	80	0	0	0	0	12	7	79	1014	369	73	339	475	564	201	625	696	1265	363	458	306	992	159	1016	1202	355	274	722	174	2076	661	337	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO62	5	77	67	2386	19	0	0	67	0	18	0	0	36	105	108	189	70	2	2	108	57	139	0	0	43	9792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO63	0	164	0	0	1	0	41	3	10	14	0	41	46	53	28	91	1	135	34	15	167	97	326	0	220	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	114	144	467	76	241	0	386	312	584	376	172	329	639	590	349	109	773	1079	344	464	190	1432	591	502	341	1291
DENOVO64	0	8	37	82	0	0	0	0	0	0	0	0	0	1	5	254	0	0	127	154	2	0	145	0	0	2	158	4573	103	250	164	395	228	72	198	916	58	685	155	2328	512	116	664	706	118	409	277	62	2158	3118	498	555	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO65	0	0	0	0	8	0	0	16	0	0	0	0	0	1	0	0	0	20	0	0	211	235	0	0	317	84	1	0	0	0	0	0	0	0	5	0	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0	0	102	263	1035	1148	134	228	432	67	662	493	327	42	88	1883	613	798	1013	950	76	635	38	1327	83	28	1205	413
DENOVO66	0	0	0	0	0	0	80	0	33	24	0	0	3	1	0	0	0	7	731	829	0	0	0	0	6	12	603	770	134	0	0	1	604	9	581	214	365	1	211	0	1544	294	31	48	963	0	679	509	122	2441	550	82	0	0	0	11	0	3	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
DENOVO67	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	34	77	1	0	14	0	0	0	171	261	79	60	192	65	399	375	646	624	80	692	208	861	1385	58	153	154	428	60	128	26	703	2255	17	210	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
