;I1;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;I2;G20;I3;I4;I5;I6;I7;I8;I9;Kingdom;Phylum;Class;Order;Family;Genus;Species
5753dbc6f99059686a192e77829c72b3;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured_bacterium
876ed260be5f69590ce1242534b48054;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;NA
447067a11ca9cda4c59820c0eec951bb;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;uncultured;uncultured_bacterium
a5b69f125c8e15c8b470bd65ffa241c1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;uncultured_bacterium
1dcd69ae1c723546e7f87854061452f6;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
2aba9f67616890cfdfd9cef0649ec657;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;uncultured_bacterium
3a71e9a054fdfb756bfc1881602b808d;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;Odoribacter_splanchnicus
10fae19aa3418fc0992d9de8bf94e333;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;NA
fe4d4398c63ff02aeae1eece4c3006e4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;UCG-010;NA
ec098ad12ef2923b449a01762462578b;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus_lactis
f28e46829202e2c9321343907dbf2cf7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;uncultured_bacterium
e65c0b3bfe810069a5259bc9223cc079;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group;[Eubacterium]_coprostanoligenes_group;uncultured_bacterium
b48c76732b087f4f5b146b1661a8573a;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;ASF356;uncultured_bacterium
