"";"AX1";"AX2";"AX3";"AX4";"AX7";"AX8";"AX9";"AX10";"AX11";"AX12";"AX13";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"5fb8dfb4586194bc726fe3ebb94619c7";"4";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";"uncultured";NA
"5bcf3456b15a0eaee5187cd036773040";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Micavibrionales";"Micavibrionaceae";"uncultured";NA
"f0c3965de82a43ff5640a311283841b2";"0";"0";"201";"79";"71";"29";"15";"0";"103";"75";"246";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Devosiaceae";"Maritalea";NA
"c2bdda531d1ff019e971a0df2d7f684e";"737";"5175";"368";"448";"301";"274";"473";"168";"166";"274";"105";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Sediminimonas";NA
"dc4d47be64c64dd139290aedac5af1f3";"2574";"2186";"1165";"282";"280";"293";"233";"187";"312";"331";"369";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;NA
"590e10d80dedea078db858366d21d1d1";"199";"122";"33";"6";"15";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Roseivivax";NA
"dd427594ecad0cd8a7f614e04f024a7c";"863";"598";"86";"43";"27";"44";"259";"121";"75";"245";"51";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Roseovarius";NA
"080c7e3ebdab9d2e0ead61221cec4494";"0";"0";"11";"8";"6";"12";"8";"0";"12";"28";"9";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Oceaniovalibus";NA
"ed6a7361660e2fed3592fba9b7f6b228";"5";"14";"0";"0";"0";"0";"30";"0";"8";"5";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Rhodobacteraceae";NA
"8dcc8206e37542cba84faf202e182089";"241";"475";"119";"88";"71";"139";"61";"35";"134";"102";"72";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Nioella";NA
"b136d2efea5fe05e0a36f3cf9ff3e041";"0";"6";"34";"24";"14";"12";"25";"8";"19";"14";"28";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"uncultured";NA
"32277641e83873900caf3f4a1cc89aee";"57";"72";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Rhodobaculum";NA
"928169b559dcf757465e6a178b13d84b";"119";"134";"50";"21";"7";"6";"3";"0";"4";"10";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";NA;NA
"115f38415031c29513ae20af91498f9c";"0";"0";"70";"17";"5";"0";"0";"6";"0";"9";"15";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Nitratireductor";NA
"926a37d8f52e5b258db044d959d90fcf";"8";"21";"130";"43";"49";"571";"109";"12";"25";"23";"6";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhodobiaceae";"Amorphus";NA
"0193c93f83a608e0f1d3331ce2059933";"18";"42";"56";"4";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Devosiaceae";"Pelagibacterium";NA
"1f471162951655d7b7a4f0bd43dbbe77";"52";"135";"109";"19";"0";"0";"0";"0";"12";"50";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Stappiaceae";"Stappia";NA
"f521ecc7a7e09313e43d19c29192adbf";"0";"0";"0";"0";"0";"53";"19";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_Incertae_Sedis";"Unknown_Family";"uncultured";NA
"e92e4125141e71ff5c97f1cb3d6e6905";"45";"33";"52";"34";"29";"87";"18";"0";"13";"14";"10";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_Incertae_Sedis";"Unknown_Family";"Acuticoccus";NA
"2dea2694559bf6f7034b6318c07b66fb";"6";"16";"18";"8";"51";"111";"14";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Stappiaceae";"Labrenzia";NA
"e38d663651f7b1e03da57c1dddf4bb06";"13";"40";"15";"10";"0";"11";"0";"46";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Stappiaceae";"Nesiotobacter";NA
"0d540be35bf8b91f95e5f2d6e6d092b0";"192";"340";"5";"9";"4";"0";"0";"7";"0";"6";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Kiloniellales";"Fodinicurvataceae";"Fodinicurvata";NA
"1e97856d985b815d0cf2c6cf59d51404";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Halomonadaceae";NA;NA
"7d9f72b96992239b9190944a826124af";"4";"16";"3";"0";"0";"0";"0";"0";"17";"86";"14";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Hyphomonadaceae";"Oceanicaulis";NA
"125173c4846d8768ad0a57af5a177b81";"5";"7";"10";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Hyphomonadaceae";"Henriciella";NA
"f24468f8959a7c92e6eda52f79f85e4c";"0";"0";"0";"0";"19";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bacteriovoracales";"Bacteriovoracaceae";"Halobacteriovorax";NA
"1c0f377583707352e54b34f759151330";"0";"0";"0";"0";"12";"0";"12";"9";"0";"0";"0";"d__Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bacteriovoracales";"Bacteriovoracaceae";NA;NA
"e318851bea14006aa6395fb3742a0261";"0";"3";"66";"8";"19";"0";"8";"0";"166";"120";"64";"d__Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bacteriovoracales";"Bacteriovoracaceae";"Peredibacter";NA
"75e54c00508b905d1f5b1cf463fa9daa";"13";"22";"0";"0";"0";"0";"0";"2";"0";"2";"11";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Coxiellales";"Coxiellaceae";"Coxiella";NA
"707a3cb02035855a613dd265a1dd8f65";"5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"6";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";"uncultured";NA
